,Content,Query Name,Title,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
1563,"U.S. regulators on Friday approved a new drug for an aggressive type of breast cancer that’s spread in the body — including into the brain, where it’s especially tough to treat. ",cancer,FDA Approves Pill for Aggressive Breast Cancer That's Spread,1563.0,1563.0,1563.0,1563.0
1564,"Senator Christopher J. Dodd, the 65-year-old five-term Connecticut Democrat, said on Friday that the cancer was discovered six weeks ago and that he will have surgery during the Senate recess in August. (Video: MSNBC)",cancer,Dodd Has Early Stage Prostate Cancer,1564.0,1564.0,1564.0,1564.0
1565," Elida Fernández, 53, is spending her first Christmas away from the Dominican Republic, her homeland. Unfortunately, this holiday season is not a joyous one for her, nor for her daughter Judy Gabot, 30, who is working two jobs in an effort to keep her mother alive. ",cancer,"Cancer Returns, and the Bills Pile Up",1565.0,1565.0,1565.0,1565.0
1566,"Dr. Stanley J. Korsmeyer, a cancer researcher at Harvard who helped discover and investigate a gene that interferes with the natural regeneration of body tissue and creates conditions that often lead to cancer, died on March 31 in Brigham and Women's Hospital in Boston. He was 54.",cancer,"S. J. Korsmeyer, Researcher of a Gene Linked to Cancer, Dies at 54",1566.0,1566.0,1566.0,1566.0
1567,"The rapper Adam Yauch, below, said that he was “feeling healthy, strong and hopeful” that he had beaten cancer after returning from a recent trip to India, but a coming album by his band, the Beastie Boys, remains without a release date. Mr. Yauch, better known by his stage name, MCA, made his announcement in an e-mail message sent to fans and also posted on the band’s Web site. He announced in July that he had received a diagnosis of cancer, and underwent surgery and began radiation treatment. In a statement Wednesday, publicists for the Beastie Boys said that Mr. Yauch “underwent surgery to remove a cancerous tumor in his left parotid (salivary) gland” that was found “in a location that will not affect Yauch’s vocal chords.” The statement said that a new release date for the Beastie Boys album “Hot Sauce Committee Part 1” had not been determined. The album had originally been planned for Sept. 15 but was postponed after Mr. Yauch disclosed the diagnosis.",cancer,Beastie Boy Updates His Cancer Report,1567.0,1567.0,1567.0,1567.0
1568,"Treatments for breast cancer can lead to unpleasant side effects for most women, including hot flashes, sweating and lack of energy. Now, new research suggests relief can come from an unconventional therapy — acupuncture.",cancer,Acupuncture Offers Relief for Breast Cancer Patients,1568.0,1568.0,1568.0,1568.0
1569,Correction Appended,cancer,A Cancer Drug's Big Price Rise Is Cause for Concern,1569.0,1569.0,1569.0,1569.0
1570," Even the most conscientious health officials cannot keep the sun from rising; so in response to an unexplained increase in skin cancer among young people, some have fixed their sights on a more governable suspect: the $5 billion-a-year indoor tanning industry.",cancer,Skin Cancer Is Up; Tanning Industry a Target,1570.0,1570.0,1570.0,1570.0
1571,"The incidence of colorectal cancer is declining in the United States, but blacks are developing the disease and dying of it at higher rates than whites, and the racial gap is widening, the American Cancer Society has reported.",cancer,Colon Cancer Rates Higher in Blacks Than Whites,1571.0,1571.0,1571.0,1571.0
1572,,cancer,Kosovo leader has lung cancer,1572.0,1572.0,1572.0,1572.0
1573,I remember when being good seemed strategic. ,cancer,Living With Cancer: The Good Patient Syndrome,1573.0,1573.0,1573.0,1573.0
1574,"Radiation treatment after surgery for breast cancer significantly lowers the risk that the disease will recur in the breast or spread lethally to other parts of the body over the next 10 to 15 years, researchers say.",cancer,Benefit in Radiation After Breast Cancer Surgery,1574.0,1574.0,1574.0,1574.0
1575,"A change in diet for just two weeks alters gut bacteria in ways that may reduce risk of colon cancer, according to a new study in Nature Communications.",cancer,African Diet May Lead Away From Colon Cancer,1575.0,1575.0,1575.0,1575.0
1576,"For patients with prostate cancer, it is a common surgical procedure: a doctor implants dozens of radioactive seeds to attack the disease. But when Dr. Gary D. Kao treated one patient at the veterans’ hospital in Philadelphia, his aim was more than a little off. ",cancer,"At V.A. Hospital, a Rogue Cancer Unit",1576.0,1576.0,1576.0,1576.0
1577,"When my oncologist told me about her various job offers, she laughed and reassured me that the only position that could lure her away would be a professorship named for Princess Diana. Of course I knew she was kidding.",cancer,"Living With Cancer: My Doctor, My Friend",1577.0,1577.0,1577.0,1577.0
1578,"A month after his 2009 graduation from Yale Law School, Seun Adebiyi learned he had not one but two lethal blood cancers and began an odyssey to find a bone-marrow donor. Mr. Adebiyi, 28, who came to this country from Nigeria as a child, made appeals through Yale, on radio stations, in a YouTube video and even on a trip to Nigeria to ask law students to volunteer. ",cancer,"Finding a Match, and a Mission: Helping Blacks Survive Cancer",1578.0,1578.0,1578.0,1578.0
1579,"Omega-3 fatty acids have been shown to have many health benefits. But they may have risks as well, including an increased risk for prostate cancer.",cancer,Omega-3s May Raise Prostate Cancer Risk,1579.0,1579.0,1579.0,1579.0
1580,"Four years ago, my sister found out she had two types of cancer at the same time. It was like being hit by lightning  twice. ",cancer,"For Cancer Patients, Empathy Goes a Long Way",1580.0,1580.0,1580.0,1580.0
1581,"Higher vitamin D intake has been associated with a significantly reduced risk of pancreatic cancer, according to a study released last week. ",cancer,Dietary Factors: Vitamin D Is Said to Cut Pancreatic Cancer Risk,1581.0,1581.0,1581.0,1581.0
1582,"Actor Patrick Swayze, 55, star of the 1987 hit movie “Dirty Dancing,” has been diagnosed with pancreatic cancer, according to a statement issued on Wednesday by his publicist. Although tabloid reports claimed Mr. Swayze has terminal cancer, the statement said those reports were not correct.",cancer,An Actor’s Diagnosis May Bring Attention to a Neglected Cancer,1582.0,1582.0,1582.0,1582.0
1583,"Q. CAN PLANTS GET CANCER? IF NOT, WHAT WOULD CAUSE A BULBOUS GROWTH ON A TREE?",cancer,Can Plants Get Cancer?,1583.0,1583.0,1583.0,1583.0
1584,"I’ve trudged through Stage 3 prostate cancer and its treatment in good shape. Nearly two years after learning I had cancer, I’m an active 52-year-old, I exercise regularly, my blood tests are where they need to be and my oncologist wants to see me only twice a year. ",cancer,"After Surviving Cancer, a Focus on True Manhood",1584.0,1584.0,1584.0,1584.0
1585,,cancer,British court overturns bar on cancer drug,1585.0,1585.0,1585.0,1585.0
1586,"Amy Robach, an anchor on ABC’s “Good Morning America,” had avoided her doctor’s recommendation for a mammogram screening for a year, when a producer for the show called at the end of September and asked her to consider undergoing a televised mammogram.",cancer,Amy Robach of ABC Says On-Air Mammogram Found Breast Cancer,1586.0,1586.0,1586.0,1586.0
1587,"On Sept. 11, 2001, Police Officer Alonzo Harris rushed to the World Trade Center to try to evacuate people from the burning towers. When the first tower collapsed, he dove beneath a parked car as thick plumes of dust and debris blotted out the sun. Later, he said, he sealed the grit-covered uniform he had worn that day in a plastic bag.",cancer,Police Union Seeks Data for Cancer Links to 9/11,1587.0,1587.0,1587.0,1587.0
1588,"Colon cancer patients who were heavy coffee drinkers had a far lower risk of dying or having their cancer return than those who did not drink coffee, with significant benefits starting at two to three cups a day, a new study found. Patients who drank four cups of caffeinated coffee or more a day had half the rate of recurrence or death than noncoffee drinkers.",cancer,Daily Coffee May Boost Colon Cancer Survival,1588.0,1588.0,1588.0,1588.0
1589,"When Nancy Borowick’s parents Howie and Laurel both faced stage-four cancer together three years ago, the young photographer confronted the family crisis with her camera. She documented not just their struggles, deaths and funerals, but also the many ordinary, everyday moments that had taken on a special urgency. ",cancer,Cancer Family: Documenting Life Before Death,1589.0,1589.0,1589.0,1589.0
1590,"When Nancy Borowick’s parents Howie and Laurel both faced stage-four cancer together three years ago, the young photographer confronted the family crisis with her camera. She documented not just their struggles, deaths and funerals, but also the many ordinary, everyday moments that had taken on a special urgency. ",cancer,Cancer Family: Documenting Life Before Death,1590.0,1590.0,1590.0,1590.0
1591,"When Chris Bonanno’s sister learned she had breast cancer two years ago, he was desperate to do something to help.",cancer,A Bridge Goes Pink for Breast Cancer Awareness,1591.0,1591.0,1591.0,1591.0
1592,"They’re inky black, pointy-eared, furry and, in a fierce sort of way, cute. And in May of this year, they were added to Australia’s endangered species list.",cancer,"For Tasmanian Devils, Hope Against a Wily Cancer",1592.0,1592.0,1592.0,1592.0
1593,"Elena Altemus is 89 and has dementia. She often forgets her children’s names, and sometimes can’t recall whether she lives in Maryland or Italy.",cancer,Too Many Older Patients Get Cancer Screenings,1593.0,1593.0,1593.0,1593.0
1594,"The band Depeche Mode has canceled additional concerts after announcing that its lead singer, Dave Gahan, below, had surgery to remove a malignant tumor from his bladder, Agence France-Presse reported. Earlier this month the group canceled a concert in Athens hours before showtime as Mr. Gahan was taken to a hospital. The singer was initially given a diagnosis of severe gastroenteritis and the band postponed further appearances in Europe while he recovered. But in a statement on Thursday, the band said that while Mr. Gahan was hospitalized, “further medical tests revealed a low-grade malignant tumor in Dave’s bladder, which has since been successfully removed.” Depeche Mode has rescheduled or canceled performances in Britain, Germany and the Netherlands, and plans to resume its tour in Leipzig, Germany, on June 8.",cancer,Depeche Mode Singer Has Cancer Surgery,1594.0,1594.0,1594.0,1594.0
1595,"Can going for a walk improve cancer survivors’ long-term prognosis? It may, according to new research showing that exercise can lower survivors’ risk of premature death, not only from cancer but from any cause. The findings are likely to resonate widely at a time when about 14 million Americans, and many more worldwide, have survived cancer. ",cancer,Cancer Survivors Who Stay Active Live Longer,1595.0,1595.0,1595.0,1595.0
1596," President Hugo Chávez said he would host a “cancer summit” meeting in early 2012 for South American leaders who, like himself, have been treated for the disease. Mr. Chávez, left, who said he had surgery in June to remove a malignant tumor, said he would invite President Dilma Rousseff of Brazil; her predecessor, Luiz Inácio Lula da Silva, who began treatment for throat cancer late last month; and President Fernando Lugo of Paraguay. “There will be no cancer or force that can hold us back because Latin America is experiencing a rebirth,” Mr. Chávez told Venezuelan state television on Sunday. He said would wait to hold the summit meeting until after Mr. da Silva completed his chemotherapy. After several rounds of chemotherapy, mostly in Cuba, Mr. Chávez, 57, said last month that he was cancer-free. Ms. Rousseff, 63, received a diagnosis of lymphatic cancer in 2009 before her election, and doctors have said she is currently free of cancer. Mr. Lugo, 60, who was found to have lymphatic cancer in August 2010, has undergone treatment in Brazil and has also been declared cancer-free. ",cancer,Venezuela: Chávez to Hold ‘Cancer Summit’ for Latin Leaders,1596.0,1596.0,1596.0,1596.0
1597,"Asian-Americans, both those born in the United States and new immigrants, have distinctive patterns of cancer incidence that doctors should consider when treating them, researchers have found.",cancer,Researchers find distinctive patterns of cancer in Asian-Americans,1597.0,1597.0,1597.0,1597.0
1598,"A man whose penis was removed because of cancer has received the first penis transplant in the United States, at Massachusetts General Hospital in Boston.",cancer,Cancer Survivor Receives First Penis Transplant in the United States,1598.0,1598.0,1598.0,1598.0
1599,"For many years, smoking and drinking were considered the dominant risk factors for cancers of the throat. But on Monday, The Guardian, a British newspaper, reported that the actor Michael Douglas believed that his throat cancer was caused by an infection acquired during oral sex, highlighting a trend that has alarmed many scientists. ",cancer,Throat Cancer Link to Oral Sex Gains Notice,1599.0,1599.0,1599.0,1599.0
1600,Who might benefit from a clinical trial for an experimental cancer treatment?,cancer,How to Find Clinical Trials for Experimental Cancer Treatments,1600.0,1600.0,1600.0,1600.0
1601,"For years, Dr. Robert A. Holt, a genomics researcher at the British Columbia Cancer Agency, wrestled with a question about colon cancer. Might it be caused, or pushed along, by a bacterial infection?",cancer,Two Cancer Studies Find Bacterial Clue in Colon,1601.0,1601.0,1601.0,1601.0
1602,"BEIJING — For millions of Chinese, the new year opened under an oppressive shroud of smog that has closed highways, delayed or canceled hundreds of flights and shut down schools, forcing some students to follow their lessons from home through online streaming.",cancer,"A Poem Praises Smog, and Why Not? It’s From Cancer’s Perspective",1602.0,1602.0,1602.0,1602.0
1603,"In a closely watched case, a federal appeals court ruled on Friday that genes can be patented, overturning a lower court decision that had shocked the biotechnology industry.",cancer,Ruling Upholds Gene Patent in Cancer Test,1603.0,1603.0,1603.0,1603.0
1604,"Nancy Borowick decided to have her wedding in October because her parents, Laurel and Howie, both have cancer.",cancer,"Walking a Daughter Down the Aisle, In Spite of Cancer",1604.0,1604.0,1604.0,1604.0
1605,Test your knowledge of this week’s health news.,cancer,"Weekly Health Quiz: Age, Exercise and Cancer",1605.0,1605.0,1605.0,1605.0
1606,"Textured breast implants made by Allergan that have been linked to an unusual cancer are being recalled in the United States at the request of the Food and Drug Administration, and will also be recalled globally, the agency announced on Wednesday.",cancer,Breast Implants Linked to Rare Cancer Are Recalled Worldwide,1606.0,1606.0,1606.0,1606.0
1607,What do brain surgeons know about cellphone safety that the rest of us don’t?,cancer,Experts Revive Debate Over Cellphones and Cancer,1607.0,1607.0,1607.0,1607.0
1608,,cancer,Must See: Fragile Hopes in Fighting Cancer,1608.0,1608.0,1608.0,1608.0
1609,WASHINGTON  It’s become popular to pick your own personal litmus test for health care reform.,cancer,"In Health Reform, a Cancer Offers an Acid Test",1609.0,1609.0,1609.0,1609.0
1610,"Shares of the Celgene Corporation rose 5.9 percent yesterday after regulators approved the company's Revlimid capsule for a rare blood cancer, a treatment that will cost pharmacies $215 to $225 a pill.",cancer,Approval of Cancer Drug Lifts Celgene Stock,1610.0,1610.0,1610.0,1610.0
1611,"The hockey world lost one of its leading journalists last week with the death of Jim Kelley, who covered the Buffalo Sabres and the N.H.L in a career that lasted more than 30 years.",cancer,Longtime Hockey Writer Carried On Despite Cancer,1611.0,1611.0,1611.0,1611.0
1612,"One of the largest studies to explore whether fertility drugs increase a woman’s risk of ovarian cancer found “no convincing association” with the cancer, though researchers said they would continue to follow tens of thousands of Danish women to see if their risk increased with age.",cancer,"Fertility Drugs and Ovarian Cancer Not Linked, Study Says",1612.0,1612.0,1612.0,1612.0
1613,"Although I usually refrain from writing columns linked to national health observances, I believe that Colorectal Cancer Awareness Month, in March, is too important to ignore. There are simply too many people who are still getting and dying from this preventable disease because they failed to get screened for it, including people without excuses like ignorance, lack of health insurance or poor access to medical services.",cancer,Colon Cancer Screening Can Save Your Life,1613.0,1613.0,1613.0,1613.0
1614,The Associated Press reports:,cancer,CNN’s Cooper Has Skin Cancer Removed,1614.0,1614.0,1614.0,1614.0
1615,Test your knowledge of this week’s health news.,cancer,"Weekly Health Quiz: Alternative Therapies, Cancer and Cholesterol",1615.0,1615.0,1615.0,1615.0
1616,"An influential panel of experts convened by the World Health Organization concluded on Wednesday that regularly drinking coffee could protect against at least two types of cancer, a decision that followed decades of research pointing to the beverage’s many health benefits. The panel also said there was a lack of evidence that it might cause other types of cancer.",cancer,"Coffee May Protect Against Cancer, W.H.O. Concludes",1616.0,1616.0,1616.0,1616.0
1617,"A baby girl who was close to dying from cancer has been rescued by a cell therapy envisioned as a “one size fits all” treatment that had never been tested in people, doctors reported on Thursday.",cancer,A Cell Therapy Untested in Humans Saves a Baby With Cancer,1617.0,1617.0,1617.0,1617.0
1618,"Smoking causes lung cancer and is implicated in a dozen other cancers, but scientists have generally dismissed its importance in breast cancer, saying it plays little role, if any. ",cancer,Panel Sees Role for Smoking in Breast Cancer,1618.0,1618.0,1618.0,1618.0
1619,"The man was 23 when the delusions came on. He became convinced that his thoughts were leaking out of his head and that other people could hear them. When he watched television, he thought the actors were signaling him, trying to communicate. He became irritable and anxious and couldn’t sleep. ",cancer,He Got Schizophrenia. He Got Cancer. And Then He Got Cured. ,1619.0,1619.0,1619.0,1619.0
1620,"CHICAGO — A drug now used to prevent recurrences of breast cancer can also reduce the risk of it occurring in the first place, providing a new option for women at high risk of getting the disease, researchers reported here on Saturday. ",cancer,"Drug Can Reduce Risk of Breast Cancer, Study Says",1620.0,1620.0,1620.0,1620.0
1621,Dan Woska was weighing his treatment options after he was found to have prostate cancer two years ago when a friend mentioned a new genomic test that could gauge how lethal his tumor was.,cancer,New Diagnostic Tools for Prostate Cancer,1621.0,1621.0,1621.0,1621.0
1622,"A new radiation therapy can extend the lives of men with the most advanced form of prostate cancer, a large new study has found.",cancer,New Radiation Therapy Prolongs Prostate Cancer Survival,1622.0,1622.0,1622.0,1622.0
1623,"In my recent Raw Data column about whether fruits and vegetables are crucial to avoiding cancer, I referred to two thick reports, published in 1997 and 2007 by the American Institute for Cancer Research and its affiliate, the World Cancer Research Fund. Sitting side by side on my desk, the books look similar: One cover is blue and the other green, and both are adorned with images of fruits, vegetables, legumes and grains interspersed with people working and playing, all apparently enjoying good health. Presiding over the scene is an image of Mother Earth.",cancer,From an Apple a Day to ‘Energy Balance’ in Cancer Research,1623.0,1623.0,1623.0,1623.0
1624,"A new generation of DNA tests for colon cancer seems likely to improve the detection both of cancers and of the precancerous polyps that precede them. The tests, if validated, could reduce the burden of disease substantially by detecting tumors at an early stage, including those not picked up by a colonoscopy. ",cancer,DNA Test May Speed Colon Cancer Diagnosis,1624.0,1624.0,1624.0,1624.0
1625,THE FACTS,cancer,Really? Drinking Coffee Lowers Colon Cancer Risk,1625.0,1625.0,1625.0,1625.0
1626,Rashidam Shakirova moved from Atlanta to New York in 2008 so she could earn more as a home health-care aide  $9 an hour instead of $7. But she now believes that her new job indirectly took a drastic toll on her health. ,cancer,Battling for Health Coverage as Cancer Spreads,1626.0,1626.0,1626.0,1626.0
1627,"The majority of people diagnosed with cancer are over 65, but most major cancer studies exclude them, leaving a wide gap in knowledge about how best to treat older patients.",cancer,Older Cancer Patients Often Excluded From Research,1627.0,1627.0,1627.0,1627.0
1628,"After I finished eight months of treatment for testicular cancer in my mid-20s, my psychologist said, “Well, that was like having five years of therapy all at once.” What he meant was that you learn a lot about yourself in weekly talk sessions, but during a life-threatening illness, the “issues” come at you nonstop. I relished the slow unfolding of myself in the first, but I resented — no, hated — every step of the second. Nearly two decades later, when confronted with the same diagnosis, I finally understood the benefits of that earlier trial by fire, much as I did the wisdom of Ralph Waldo Emerson when he wrote, “The years teach much which the days never knew.”",cancer,"Taking On Cancer Again, This Time With the Wisdom of Age",1628.0,1628.0,1628.0,1628.0
1629,"Four years ago, my sister found out she had two types of cancer at the same time. It was like being hit by lightning — twice.",cancer,"For cancer patients, empathy goes a long way",1629.0,1629.0,1629.0,1629.0
1630,"Cancer treatments can compromise fertility, but new research suggests that when survivors of childhood cancer are able to have children, their babies do not face an increased risk of birth defects.",cancer,Babies Born to Childhood Cancer Survivors Do Well,1630.0,1630.0,1630.0,1630.0
1631,"SEOUL, South Korea  The North Korean leader Kim Jong-il, who suffered a stroke last August, was also found to have “life-threatening” pancreatic cancer around the same time, a South Korean cable television network reported on Monday. ",cancer,"N. Korea’s Leader May Have Cancer, Report Says",1631.0,1631.0,1631.0,1631.0
1632,"Two new studies revealed bad news about minimally invasive surgery for cervical cancer, a widely used procedure performed through small slits in the abdomen instead of a big incision.",cancer,Studies Warn Against Minimally Invasive Surgery for Cervical Cancer,1632.0,1632.0,1632.0,1632.0
1633,"Ligand Pharmaceuticals said yesterday that two studies had found that its drug Targretin failed to prolong life when used with chemotherapy against the most common form of lung cancer. The company's stock fell 29 percent. The company is seeking expanded approval of Targretin to treat non-small-cell lung cancer. The drug is already sold to treat a form of skin cancer. An initial review of the trials showed no increase in overall survival or survival after two years compared with patients treated using chemotherapy alone, the company said. The results were a setback in Ligand's bid to expand Targretin sales as growth slows for its biggest product, the Avinza pain treatment. Stock in the company, which is based in San Diego, fell $2.35, to $5.88 a share.",cancer,LIGAND SAYS RESULTS OF CANCER DRUG TRIALS DISAPPOINT,1633.0,1633.0,1633.0,1633.0
1634,"BEIJING — As a child, the road cyclist Amber Neben was admitted to a California hospital with meningitis. Doctors instructed her parents to prepare for the worst, and told them the odds were against survival.",cancer,"Amber Neben, cyclist who beat cancer",1634.0,1634.0,1634.0,1634.0
1635,"For the next four weeks we will be awash in a sea of pink as women’s groups promote October as breast cancer awareness month. But while awareness is high, many women still have some key facts about breast cancer all wrong.",cancer,"Despite Awareness Campaigns, Breast Cancer Myths Linger",1635.0,1635.0,1635.0,1635.0
1636,"Almost half of patients who undergo fecal blood tests to screen for colon and rectal cancer fail to follow up with a repeat test within two years as recommended, a new study reports.",cancer,Screening: Many Skip Follow-Up Tests for Colon Cancer,1636.0,1636.0,1636.0,1636.0
1637,"I’m driving my mother to her second week of radiation on a glorious spring day. Pale green leaf-lace froths on the trees, a verdant scribble working its way up the foothills of Mt. Greylock. Spring is an irrepressible fact in New England, not a cliché. And the weather is our favorite subject now that Mom has moderate Alzheimer’s.",cancer,Dementia’s Gift: Facing Cancer Without the Fear,1637.0,1637.0,1637.0,1637.0
1638,"When the essayist and novelist Jenny Diski, who died last week at 68, learned she had inoperable lung cancer, her first impulse was to make a “Breaking Bad” joke. She turned to her husband and said, in front of her doctor, “We’d better get cooking the meth.”",cancer,"Review: Jenny Diski’s ‘In Gratitude,’ an Uphill Life on and Off Cancer Road",1638.0,1638.0,1638.0,1638.0
1639,"PARIS — Dr. David Servan-Schreiber, a psychiatrist and best-selling author whose cancer diagnosis at the age of 31 compelled him to explore and then popularize the use of natural and holistic methods in dealing with cancer and depression, died on July 24 in a hospital near Fécamp, France. He was 50.",cancer,"David Servan-Schreiber, Exponent of Cancer Treatments, Dies at 50",1639.0,1639.0,1639.0,1639.0
1640,"With the arrival of two revolutionary treatment strategies, immunotherapy and personalized medicine, cancer researchers have found new hope — and a problem that is perhaps unprecedented in medical research.",cancer,"A Cancer Conundrum: Too Many Drug Trials, Too Few Patients",1640.0,1640.0,1640.0,1640.0
1641,"Dr. Judah Folkman, a pathbreaking cancer researcher who faced years of skepticism before his ideas led to successful treatments, died Monday in Denver. He was 74.",cancer,"Dr. Judah Folkman, 74, cancer researcher",1641.0,1641.0,1641.0,1641.0
1642,"Though more than one-third of patients 85 or older in veterans hospitals receive tests for prostate-specific antigen, or P.S.A., the cancer marker, researchers report, no professional associations or advocacy groups recommend the test for that age group. And there is no evidence that such patients benefit from treatment of prostate cancer if it is found by the test.",cancer,Testing: V.A. Hospitals May Screen Needlessly for Cancer,1642.0,1642.0,1642.0,1642.0
1643,"Nicholas Wade of The New York Times reports on two new DNA-related tests in an article recently posted on our Web site. The tests, he notes, “one of them described at a meeting in Philadelphia on Thursday, hold the promise of detecting early — and sharply reducing — colon cancer, a disease that afflicts 150,000 people a year in the United States and costs an estimated $14 billion to treat.”",cancer,New DNA Tests Aim at Reducing Cancer,1643.0,1643.0,1643.0,1643.0
1644,"The incidence of advanced breast cancer among younger women, ages 25 to 39, may have increased slightly over the last three decades, according to a study released Tuesday.",cancer,Study Sees More Breast Cancer at Young Age,1644.0,1644.0,1644.0,1644.0
1645,"Katherine Russell Rich, whose gritty, darkly comic memoir of her protracted battle with breast cancer became a beacon for other patients, died of the disease on Tuesday. She was 56, and against all predictions had lived with cancer for nearly a quarter-century.",cancer,"Katherine Russell Rich, Who Wrote of Battle With Cancer, Dies at 56",1645.0,1645.0,1645.0,1645.0
1646,"The Food and Drug Administration on Friday approved Celgene’s drug Abraxane for use in treating advanced pancreatic cancer, supplementing the thin arsenal available to fight the disease. ",cancer,F.D.A. Approves a Drug for Late-Stage Pancreatic Cancer,1646.0,1646.0,1646.0,1646.0
1647,"Watching Robin Roberts tear up in front of millions of viewers on “Good Morning America” last month, I cried, too.",cancer,New Cancer Threat Lurks Long After Cure,1647.0,1647.0,1647.0,1647.0
1648,"NEW YORK — A drug already in widespread use to prevent bone thinning in women past menopause can also reduce their risk of invasive breast cancer, researchers reported.",cancer,Osteoporosis drug shown to decrease chances of breast cancer,1648.0,1648.0,1648.0,1648.0
1649,"Reitza Rosado Salgado was four months shy of graduating from high school when, in January 2008, she felt a pain in her side. Her mother, Maritza Salgado, took her to a hospital in Sabana Grande, Puerto Rico, where they live. When the pain did not subside, they went to a hospital in San Juan. Doctors performed a series of tests.",cancer,Managing an Extended Struggle Against Cancer,1649.0,1649.0,1649.0,1649.0
1650,Medicare confirmed on Thursday that it would continue to pay for two expensive cancer drugs that had been at the center of debate — Avastin from Genentech for breast cancer and Provenge from Dendreon for prostate cancer. ,cancer,Medicare Will Continue to Cover 2 Expensive Cancer Drugs,1650.0,1650.0,1650.0,1650.0
1651,"The waters of Flushing Bay, within view of La Guardia Airport, are some of the more polluted around New York City. The bay has poor circulation, and during heavy rainfalls sewers spew raw waste into the water from nearby homes and businesses.",cancer,Cancer Survivors Apply Tenacious Spirit to Bay Cleanup,1651.0,1651.0,1651.0,1651.0
1652,"In the usual cancer biopsy, a surgeon cuts out a piece of the patient’s tumor, but researchers in labs across the country are now testing a potentially transformative innovation. They call it the liquid biopsy, and it is a blood test that has only recently become feasible with the latest exquisitely sensitive techniques. It is showing promise in finding tiny snippets of cancer DNA in a patient’s blood.",cancer,New Blood Test Shows Promise in Cancer Fight,1652.0,1652.0,1652.0,1652.0
1653,A large study has found that drinking coffee is associated with a reduced risk of death from oral cancer.,cancer,Risks: Coffee Linked to Fewer Oral Cancer Deaths,1653.0,1653.0,1653.0,1653.0
1654,"ALBANY  Each year, there are 200,000 new cases of cancer in New York State, and each one is reported to the State Health Department and meticulously recorded.",cancer,Lawmakers Approve Detailed Map of State’s Cancer Cases,1654.0,1654.0,1654.0,1654.0
1655,"About half of all Bernese mountain dogs are prone to an unusual blood cancer called malignant histiocytosis. Boxers are four times more likely to get lymphomas than dogs in general, while Pomeranians are 10 times less likely. Cocker spaniels are more likely to get B cell lymphomas, and huskies are more susceptible to T cell lymphomas. ",cancer,Dogs May Help Find Genes That Cause Cancer,1655.0,1655.0,1655.0,1655.0
1656,Women with metastatic breast cancer are living longer.,cancer,Women With Aggressive Breast Cancer Are Living Longer,1656.0,1656.0,1656.0,1656.0
1657," Elizabeth Edwards, the wife of the presidential candidate John Edwards, elaborated on her cancer diagnosis in an interview broadcast last night, saying that the disease had spread to one of her hips.",cancer,Edwards’s Cancer Has Spread Into One of Her Hips,1657.0,1657.0,1657.0,1657.0
1658,"WASHINGTON — Government scientists are expected today to declare styrene a likely human carcinogen, a move that manufacturers have long feared. Styrene is used to make those ubiquitous white foam coffee cups and food containers and is widely used in building materials.",cancer,U.S. Weighs Cancer Risk of Styrene and Formaldehyde,1658.0,1658.0,1658.0,1658.0
1659,"Lori Siegel did not even wait for her hair to grow back. Still feeling the effects of radiation treatments, she sent her résumé to potential employers, bought a new suit and a wig that does not look like a wig, and started going on job interviews. ",cancer,"Cancer Survivors Struggle to Find Jobs, Study Finds",1659.0,1659.0,1659.0,1659.0
1660,"Lori Siegel did not even wait for her hair to grow back. Still feeling the effects of radiation treatments, she sent her résumé to potential employers, bought a new suit and a wig that does not look like a wig, and started going on job interviews. ",cancer,"Cancer Survivors Struggle to Find Jobs, Study Finds",1660.0,1660.0,1660.0,1660.0
1661,WASHINGTON — A top official of the American Cancer Society has resigned in part because of concern over some of the organization’s fund-raising partnerships.,cancer,Cancer Society Executive Resigns Amid Upset Over Corporate Partnerships,1661.0,1661.0,1661.0,1661.0
1662,"The Broadway star Marin Mazzie brings the same exuberance to living with late-stage ovarian cancer that she displays in her performances. Or perhaps the roles she has undertaken in musicals like “Ragtime,” “Kiss Me Kate” and “The King and I” have contributed to her proactive efforts to improve the fate of other women who will have to cope with the disease.",cancer,How the Broadway Star Marin Mazzie Confronts Cancer,1662.0,1662.0,1662.0,1662.0
1663,"A second opinion from a team of specialists after an initial diagnosis of breast cancer resulted in a significant change in the recommended surgical treatment in more than half of cases, a new study has found.",cancer,Second Opinion May Aid Breast Cancer Treatment,1663.0,1663.0,1663.0,1663.0
1664,"Kenneth P. Thompson, the first black district attorney of Brooklyn and a voice for racial justice at a moment of tension between law enforcement and minority communities, died on Sunday from cancer, his family said. He was 50.",cancer,"Ken Thompson, Brooklyn District Attorney, Dies After Disclosing Cancer",1664.0,1664.0,1664.0,1664.0
1665,"When Juliet Jacobs found out she had lung cancer, she was terrified, but realized that her hope lay in getting the best treatment medicine could offer. So she got a second opinion, then a third. In February of 2010, she ended up at Duke University, where she entered a research study whose promise seemed stunning.",cancer,How Bright Promise in Cancer Testing Fell Apart,1665.0,1665.0,1665.0,1665.0
1666,"When women with low incomes or low levels of education start chemotherapy for breast cancer, they routinely get insufficient doses, a new study suggests. That may be one reason they are less likely to survive the disease than other women.",cancer,All Breast Cancer Patients Are Not Treated the Same,1666.0,1666.0,1666.0,1666.0
